System	KL_H3_avg	KL_H3_std	KL_CENPA_avg	KL_CENPA_std	KL_H3_norm	KL_CENPA_norm	KL_H3_std_norm	KL_CENPA_std_norm	similarity_H3_to_CENPA	similarity_H3_to_CENPA_with_error
H3	0	0.000334841	2.312465998	0.016521495	0	1	0.000104369	0.007144535	0	0.000103618
cenpa	2.528112225	0.130085379	0	0.00854539	0.788003962	0	0.040547169	0.003695358	1	0.995559779
ltH3core	1.495407184	0.727701869	0.306142422	0.309458613	0.466113321	0.132387859	0.226822192	0.133821908	0.778801006	0.722451048
ltcenpacore	2.690441826	0.788701703	0.075308476	0.056561668	0.838601545	0.032566306	0.245835632	0.024459459	0.962617645	0.95004151
thruhelixH3	1.925011447	0.709973292	0.222431362	0.158194163	0.600019506	0.096187949	0.221296255	0.068409293	0.861840104	0.833050947
thruhelixcenpa	0.909073381	1.27568876	0.661565454	0.749601468	0.283355074	0.286086565	0.397627838	0.324156752	0.497601606	0.527392409
H3withcenpahelix	0.688594331	0.366355229	0.698603062	0.32078466	0.214632506	0.302103063	0.114191676	0.138719731	0.41536236	0.42724027
cenpawithH3helix	2.752628877	0.70620503	0.030333838	0.055883901	0.857985037	0.013117528	0.2201217	0.024166367	0.984941465	0.96657324
stH3core	0.608542366	0.332909278	0.948856771	0.356774211	0.189680581	0.410322475	0.103766687	0.154283008	0.316132692	0.341992107
stcenpacore	2.391201776	0.857861283	0.038106736	0.185916869	0.745329442	0.016478831	0.267392437	0.080397666	0.978368795	0.912692287
H3withcenpalatch	3.208248115	0.056701255	0.094853313	0.018966811	1	0.041018252	0.017673588	0.008201985	0.960597951	0.953865853
cenpawithH3latch	3.176502857	0.269612281	0.078379412	0.048503721	0.990105111	0.033894298	0.084037229	0.02097489	0.96690008	0.951400684
H3withcenpa_latch_helix	1.819697206	0.810022926	0.109873691	0.201389926	0.567193416	0.047513646	0.252481385	0.087088816	0.922705222	0.858948267
cenpawithH3_latch_helix	2.44845615	0.775139861	0.031894991	0.088924093	0.763175435	0.013792631	0.241608452	0.038454227	0.982248136	0.950572054
exnotailH3	0.212181853	0.133126518	1.430698255	0.213231611	0.06613636	0.618689424	0.041495082	0.09220962	0.096573993	0.131493504
exnotailcenpa	2.47472083	0.052123238	0.012249822	0.00401443	0.771362046	0.005297298	0.016246636	0.001735995	0.99317938	0.991149104
matchHBWIDOMH3	0.029569751	0.009461203	2.632500853	0.12244251	0.00921679	1	0.002949025	0.046511859	0.009132617	0.011491519
matchHBWIDOMcenpa	0.074118505	0.021400766	1.893141681	0.078379263	0.023102485	0.719141906	0.006670546	0.029773689	0.031125173	0.038234835
matchHBWIDOMexnotailH3	0.058791228	0.033210295	1.947915576	0.146348213	0.018325025	0.739948697	0.010351536	0.055592845	0.024166768	0.034792443
matchHBWIDOMexnotailcenpa	0.58311756	0.227511473	0.842959281	0.206177989	0.181755755	0.320212349	0.070914551	0.078320198	0.362086264	0.388005527
